satisfaction;satisfied;dissatisfied;;;;;;;;;;;;;;;;;;;;
Gender;Female;Male;;;;;;;;;;;;;;;;;;;;
Customer Type;Loyal Customer;disloyal Customer;;;;;;;;;;;;;;;;;;;;
Age;7;85;;;;;;;;;;;;;;;;;;;;
Type of Travel;Business Travel;Personal Travel ;;;;;;;;;;;;;;;;;;;;
Class;Eco;Eco Plus;Business;;;;;;;;;;;;;;;;;;;
Flight Distance;50;6951;;;;;;;;;;;;;;;;;;;;
Seat comfort;0;5;;;;;;;;;;;;;;;;;;;;
Departure/Arrival time convenient;0;5;;;;;;;;;;;;;;;;;;;;
Food and drink;0;5;;;;;;;;;;;;;;;;;;;;
Gate location;0;5;;;;;;;;;;;;;;;;;;;;
Inflight wifi service;0;5;;;;;;;;;;;;;;;;;;;;
Inflight entertainment;0;5;;;;;;;;;;;;;;;;;;;;
Online support;0;5;;;;;;;;;;;;;;;;;;;;
Ease of Online booking;0;5;;;;;;;;;;;;;;;;;;;;
On-board service;0;5;;;;;;;;;;;;;;;;;;;;
Leg room service;0;5;;;;;;;;;;;;;;;;;;;;
Baggage handling;0;5;;;;;;;;;;;;;;;;;;;;
Checkin service;0;5;;;;;;;;;;;;;;;;;;;;
Cleanliness;0;5;;;;;;;;;;;;;;;;;;;;
Online boarding;0;5;;;;;;;;;;;;;;;;;;;;
Departure Delay in Minutes;0;1592;;;;;;;;;;;;;;;;;;;;
Arrival Delay in Minutes;0;1584;Và 393 giá tr? blanks ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;note;;;;;;;;;;;;;;;
